speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
FIRST TROOPER,SECOND OFFICER,51,Someone was in the pod. The tracks go off in this direction.,2,12,
SECOND TROOPER,FIRST TROOPER,52,"Look, sir-- droids.",1,3,
THREEPIO,R2D2,53,We stopped. Wake up! Wake up!,1,6,
THREEPIO,R2D2,54,We're doomed.,1,2,
THREEPIO,R2D2,55,Do you think they'll melt us down?,1,7,
THREEPIO,JAWA,56,Don't shoot! Don't shoot!,1,4,
THREEPIO,R2D2,57,Will this never end?,1,4,
OWEN LARS,JAWA,58,"All right, fine, let's go",1,5,
BERU,LUKE,59,"Luke? Luke? Luke, tell Uncle if he gets a translator to be sure it speaks Bocce.",3,16,
LUKE,BERU,60,Doesn't look like we have much of a choice but I'll remind him.,2,13,
OWEN LARS,JAWA,61,"Yeah, I'll take the red one No, not that one",2,10,
OWEN LARS,THREEPIO,62,You. I suppose you're programmed for etiquette and protocol,1,9,
THREEPIO,OWEN LARS,63,"Protocol? Why, it's my primary function sir. I am well-versed in all the customs.",1,14,
OWEN LARS,THREEPIO,64,I have no need for a protocol droid.,1,8,
THREEPIO,OWEN LARS,65,"Of course you haven't, Sir -- not in an environment such as this -- that is why I have been programmed....",3,21,
OWEN LARS,THREEPIO,66,What I really need is a droid WHO understands the binary language of moisture vaporators.,3,15,
THREEPIO,OWEN LARS,67,Vaporators! Sir -- My first job was programming binary load lifters... Very similar to your vaporators In most respects...,4,19,
OWEN LARS,THREEPIO,68,Can you speak Bocce?,1,4,
THREEPIO,OWEN LARS,69,"Of course I can, sir. It's like a second language to me... I'm as fluent...",3,15,
OWEN LARS,THREEPIO,70,All right shut up!,1,4,
OWEN LARS,JAWA,71,I'll take this one.,1,4,
THREEPIO,OWEN LARS,72,"Shutting up, sir.",1,3,
OWEN LARS,LUKE,73,"Luke, take these two over to the garage, will you? I want them cleaned up before dinner.",3,17,
LUKE,OWEN LARS,74,But I was going into Toshi Station to pick up some power converters...,2,13,
OWEN LARS,LUKE,75,"You can waste time with your friends when your chores are done. Now come on, get to it!",3,18,
LUKE,THREEPIO,76,"All right, come on!",1,4,
LUKE,R5,77,"And the red one, come on. Well, come on, Red, let's go.",2,12,
LUKE,OWEN LARS,78,Uncle Owen...,1,2,
OWEN LARS,LUKE,79,Yeah?,1,1,
LUKE,OWEN LARS,80,This R2 unit has a bad motivator. Look!,2,8,
OWEN LARS,JAWA,81,"Hey, what're you trying to push on us?",2,8,
THREEPIO,LUKE,82,"Excuse me, sir, but that R2 unit is in prime condition. A real bargain.",2,14,
LUKE,OWEN LARS,83,Uncle Owen...,1,2,
OWEN LARS,LUKE,84,Yeah?,1,1,
LUKE,OWEN LARS,85,What about that one?,1,4,
OWEN LARS,JAWA,86,What about that blue one? We'll take that one.,2,9,
THREEPIO,LUKE,87,"I'm quite sure you'll be very pleased with that one, sir. He really is in first-class condition. I've worked with him before. Here he comes.",4,25,
LUKE,"THREEPIO, R2D2",88,"Okay, let's go.",1,3,
THREEPIO,R2D2,89,"Now, don't you forget this! Why I should stick my neck out for you is quite beyond my capacity!",3,19,
THREEPIO,LUKE,90,"Thank the maker! This oil bath is going to feel so good. I've got such a bad case of dust contamination, I can barely move!",4,25,
LUKE,THREEPIO,91,"It just isn't fair. Oh, Biggs is right. I'm never gonna get out of here!",3,15,
THREEPIO,LUKE,92,Is there anything I might do to help?,1,8,
LUKE,THREEPIO,93,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!",3,17,
THREEPIO,LUKE,94,"I don't think so, sir. I'm only a droid and not very knowledgeable about such things. Not on this planet, anyways. As a matter of fact, I'm not even sure which planet I'm on.",5,34,
LUKE,THREEPIO,95,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from.",3,17,
THREEPIO,LUKE,96,"I see, sir.",1,3,
LUKE,THREEPIO,97,"Uh, you can call me Luke.",1,6,
THREEPIO,LUKE,98,"I see, sir Luke.",1,4,
LUKE,THREEPIO,99,Just Luke.,1,2,
THREEPIO,LUKE,100,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",3,12,
LUKE,R2D2,101,Hello.,1,1,
LUKE,"R2D2, THREEPIO",102,You got a lot of carbon scoring here. It looks like you boys have seen a lot of action.,3,19,
THREEPIO,LUKE,103,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all.",4,22,
LUKE,THREEPIO,104,You know of the Rebellion against the Empire?,2,8,
THREEPIO,LUKE,105,"That's how we came to be in your service, if you take my meaning, sir.",3,15,
LUKE,THREEPIO,106,Have you been in many battles?,1,6,
THREEPIO,LUKE,107,"Several, I think. Actually, there's not much to tell. I'm not much more than an interpreter, and not very good at telling stories. Well, not at making them interesting, anyways.",5,30,
LUKE,R2D2,108,"Well, my little friend, you've got something jammed in here real good. Were you on a cruiser or...",3,18,
LEIA,LUKE,109,"Help me, Obi-Wan Kenobi. You're my only hope.",2,8,recording
LUKE,"R2D2, THREEPIO",110,What's this?,1,2,
THREEPIO,R2D2,111,What is what?!? He asked you a question... What is that?,3,11,
LEIA,NA,112,"Help me, Obi-Wan Kenobi. You're my only hope. Help me, Obi-Wan Kenobi. You're my only hope.",3,16,recording
THREEPIO,LUKE,113,"Oh, he says it's nothing, sir. Merely a malfunction. Old data. Pay it no mind.",3,15,
LUKE,THREEPIO,114,Who is she? She's beautiful.,1,5,
THREEPIO,LUKE,115,I'm afraid I'm not quite sure...,1,6,
LEIA,NA,116,"Help me, Obi-Wan Kenobi...",1,4,recording
THREEPIO,LUKE,117,"I think she was a passenger on our last voyage. A person of some importance, sir -- I believe. Our captain was attached to...",4,24,
LUKE,THREEPIO,118,Is there more to this recording?,1,6,
THREEPIO,R2D2,119,"Behave yourself, Artoo. You're going to get us in trouble. It's all right, you can trust him. He's our new master.",4,21,
THREEPIO,LUKE,120,"He says he's the property of Obi-Wan Kenobi, a resident of these parts. And it's a private message for him. Quite frankly, sir I don't know what he's talking about. Our last master was Captain Antilles, but with all we've been through, this little R2 unit has become a bit eccentric.",8,51,
LUKE,THREEPIO,121,Obi-Wan Kenobi? I wonder if he means old Ben Kenobi?,2,10,
THREEPIO,LUKE,122,"I beg your pardon, sir, but do you know what he's talking about?",2,13,
LUKE,THREEPIO,123,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea. He's kind of a strange old hermit.",4,23,
LEIA,NA,124,"Help me, Obi-Wan Kenobi... you're my only hope",1,8,recording
LUKE,THREEPIO,125,I wonder who she is. It sounds like she's in trouble. I'd better play back the whole thing.,3,18,
THREEPIO,LUKE,126,"He says the restraining bolt has short circuited his recording system. He suggests that if you remove the bolt, he might be able to play back the entire recording.",5,29,
LUKE,R2D2,127,"H'm? Oh, yeah, well, I guess you're too small to run away on me if I take this off! Okay. There you go.",4,23,
LUKE,"R2D2, THREEPIO",128,Wait a minute. Where'd she go? Bring her back! Play back the entire message.,3,14,
THREEPIO,R2D2,129,What message? The one you've just been playing.,1,8,
R2D2,THREEPIO,130,SQUEEK,1,1,
THREEPIO,R2D2,131,The one you're carrying inside your rusty innards!,1,8,
BERU,LUKE,132,Luke? Luke!,1,2,
LUKE,BERU,133,"All right, I'll be right there, Aunt Beru.",2,8,
THREEPIO,LUKE,134,"I'm sorry, sir, but he appears to have picked up a slight flutter.",2,13,
LUKE,THREEPIO,135,Here. See what you can do with him. I'll be right back.,2,12,
THREEPIO,R2D2,136,Just you reconsider playing that message for him.,2,8,
THREEPIO,R2D2,137,"No, I don't think he likes you at all.",2,9,
THREEPIO,R2D2,138,"No, I don't like you either.",1,6,
R2D2,THREEPIO,139,SADBEEP,1,1,
LUKE,OWEN LARS,140,"You know, I think that R2 unit we bought might have been stolen.",2,13,
OWEN LARS,LUKE,141,What makes you think that?,1,5,
LUKE,OWEN LARS,142,"Well, I stumbled across a recording while I was cleaning him. He says he belongs to someone called Obi-Wan Kenobi. I thought he might have meant old Ben. Do you know what he's talking about? I wonder if he's related to Ben.",8,42,
OWEN LARS,LUKE,143,That wizard's just a crazy old man. Tomorrow I want you to take that R2 unit into Anchorhead to have its memory erased. That'll be the end of it. It belongs to us now.,5,34,
LUKE,OWEN LARS,144,But what if this Obi-Wan comes looking for him?,2,9,
OWEN LARS,LUKE,145,"He won't, I don't think he exists any more. He died about the same time as your father.",3,18,
LUKE,OWEN LARS,146,He knew my father?,1,4,
OWEN LARS,LUKE,147,I told you to forget it. Your only concern is to prepare the new droids for tomorrow. In the morning I want them up there on the south ridge working on those condensers.,5,33,
LUKE,OWEN LARS,148,"Yes, sir. I think those new droids are going to work out fine. In fact, I, was also thinking about our agreement about me staying on another season.",4,28,
LUKE,"OWEN LARS, BERU",149,"And if these new droids do work out, I want to transmit my application to the Academy this year.",3,19,
OWEN LARS,LUKE,150,You mean the next semester before harvest?,2,7,
LUKE,OWEN LARS,151,"Sure, there're more than enough droids.",2,6,
OWEN LARS,LUKE,152,"Harvest is when I need you the most. Only one more season. This year we'll make enough on the harvest that I'll be able to hire some more hands. And then you can go to the Academy next year. You must understand I need you here, Luke.",8,47,
LUKE,OWEN LARS,153,But it's a whole 'nother year.,1,6,
OWEN LARS,LUKE,154,It's only one more season.,1,5,
LUKE,OWEN LARS,155,"Yeah, that's what you said when Biggs and Tank left.",2,10,
BERU,LUKE,156,Where are you going?,1,4,
LUKE,BERU,157,It looks like I'm going nowhere. I have to finish cleaning those droids.,2,13,
BERU,OWEN LARS,158,"Owen, he can't stay here forever. Most of his friends have gone. It means so much to him.",3,18,
OWEN LARS,BERU,159,I'll make it up to him next year. I promise.,2,10,
BERU,OWEN LARS,160,"Luke's just not a farmer, Owen. He has too much of his father in him.",2,15,
OWEN LARS,BERU,161,That's what I'm afraid of.,1,5,
LUKE,THREEPIO,162,What are you doing hiding back there?,1,7,
THREEPIO,LUKE,163,"It wasn't my fault, sir. Please don't deactivate me. I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission.",4,25,
LUKE,THREEPIO,164,"Oh, no!",1,2,
THREEPIO,LUKE,165,That R2 unit has always been a problem. These astro-droids are getting quite out of hand. Even I can't understand their logic at times.,4,24,
LUKE,THREEPIO,166,How could I be so stupid? He's nowhere in sight. Blast it!,2,12,
THREEPIO,LUKE,167,"Pardon me, sir, but couldn't we go after him?",2,9,
LUKE,THREEPIO,168,It's too dangerous with all the Sandpeople around. We'll have to wait until morning.,3,14,
OWEN LARS,LUKE,169,"Luke, I'm shutting the power down",1,6,
LUKE,OWEN LARS,170,"All right, I'll be there in a few minutes.",1,8,
LUKE,THREEPIO,171,"Boy, am I gonna get it. You know that little droid is going to cause me a lot of trouble.",3,21,
THREEPIO,LUKE,172,"Oh, he excels at that, sir.",1,6,
OWEN LARS,NA,173,Luke? Luke? Luke?,1,3,
OWEN LARS,BERU,174,Have you seen Luke this morning?,1,6,
BERU,OWEN LARS,175,"He said he had some things to do before he started today, so he left early.",3,16,
OWEN LARS,BERU,176,Did he take those two new droids with him?,2,9,
BERU,OWEN LARS,177,I think so.,1,3,
OWEN LARS,BERU,178,"Well, he'd better have those units in the south range repaired by midday or there'll be hell to pay!",3,19,
LUKE,THREEPIO,179,"Look it, there's a droid on the scanner. dead ahead. Might be our little Artoo unit... hit the accelerator.",3,19,
LUKE,R2D2,180,"Hey, just where do you think you're going?",2,8,
THREEPIO,R2D2,181,Master Luke here is your rightful owner. We'll have no more of this Obi-Wan Kenobi gibberish...,3,16,
THREEPIO,R2D2,182,"and don't talk to me about your mission, either. You're fortunate he doesn't blast you into a million pieces right here.",3,21,
LUKE,THREEPIO,183,"No, it's all right, but I think we'd better go.",1,10,
LUKE,THREEPIO,184,What's wrong with him now?,1,5,
THREEPIO,LUKE,185,there are several creatures approaching from the southeast.,3,8,
LUKE,THREEPIO,186,Sandpeople!,1,1,
LUKE,THREEPIO,187,"Or worse! Come on, let's go have a look. Come on.",1,11,
LUKE,THREEPIO,188,"Well, There are two Banthas down there but I don't see any... wait a second, they're Sandpeople all right. I can see one of them now.",4,26,
OBI-WAN,R2D2,189,Hello there!,1,2,
OBI-WAN,R2D2,190,Come here my little friend. Don't be afraid.,1,8,
OBI-WAN,R2D2,191,"Don't worry, he'll be all right.",1,6,
OBI-WAN,LUKE,192,"Rest easy, son, you've had a busy day. You're fortunate to be all in one piece.",3,16,
LUKE,OBI-WAN,193,"Ben? Ben Kenobi! Boy, am I glad to see you!",2,10,
OBI-WAN,LUKE,194,The Jundland wastes are not to be traveled lightly.,2,9,
OBI-WAN,LUKE,195,"Tell me young Luke, what brings you out this far?",1,10,
LUKE,OBI-WAN,196,This little droid!,1,3,
LUKE,OBI-WAN,197,I think he's searching for his former master... I've never seen such devotion in a droid before...,3,17,
LUKE,OBI-WAN,198,He claims to be the property of an Obi-Wan Kenobi. Is he a relative of yours? Do you know who,3,20,
LUKE,OBI-WAN,199,he's talking about?,1,3,
OBI-WAN,LUKE,200,Obi-Wan Kenobi... Obi-Wan. Now that's a name I've not heard in a long time... a long time.,3,17,
LUKE,OBI-WAN,201,I think my uncle knew him. He said he was dead.,2,11,
OBI-WAN,LUKE,202,"Oh, he's not dead, not yet.",1,6,
LUKE,OBI-WAN,203,You know him!,1,3,
OBI-WAN,LUKE,204,Well of course I know him. He's me!,2,8,
OBI-WAN,LUKE,205,"I haven't gone by the name of Obi-Wan since oh, before you were born.",2,14,
LUKE,OBI-WAN,206,Then the droid does belong to you.,1,7,
OBI-WAN,LUKE,207,Don't seem to remember ever owning a droid.,1,8,
OBI-WAN,LUKE,208,Very interesting... I think we better get indoors. The Sandpeople are easily startled but they'll soon be back and in greater numbers.,4,22,
LUKE,THREEPIO,209,Threepio!,1,1,
THREEPIO,LUKE,210,Where am I? I must have taken a bad step...,2,10,
LUKE,THREEPIO,211,Can you stand? We've got to get out of here before the Sandpeople return.,2,14,
THREEPIO,LUKE,212,"I don't think I can make it. You go on, Master Luke. There's no sense in you risking yourself on my account. I'm done for.",4,25,
LUKE,THREEPIO,213,"No, you're not. What kind of talk is that?",2,9,
OBI-WAN,LUKE,214,Quickly... they're on the move.,1,5,
LUKE,OBI-WAN,215,"No, my father didn't fight in the wars. He was a navigator on a spice freighter.",3,16,
OBI-WAN,LUKE,216,That's what your uncle told you. He didn't hold with your father's ideals. Thought he should have stayed here and not gotten involved.,4,23,
LUKE,OBI-WAN,217,You fought in the Clone Wars?,1,6,
OBI-WAN,LUKE,218,"Yes, I was once a Jedi Knight the same as your father.",2,12,
LUKE,OBI-WAN,219,I wish I'd known him.,1,5,
OBI-WAN,LUKE,220,"He was the best star-pilot in the galaxy, and a cunning warrior. I understand you've become quite a good pilot yourself. And he was a good friend. Which reminds me... I have something here for you.",6,36,
OBI-WAN,LUKE,221,"Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it. He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did.",6,34,
THREEPIO,LUKE,222,"Sir, if you'll not be needing me, I'll close down for awhile.",2,12,
LUKE,THREEPIO,223,"Sure, go ahead.",1,3,
LUKE,OBI-WAN,224,What is it?,1,3,
OBI-WAN,LUKE,225,"Your fathers lightsaber. This is the weapon of a Jedi Knight. Not as clumsy or as random as a blaster. An elegant weapon for a more civilized age. For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic. Before the dark times, before the Empire.",9,54,
LUKE,OBI-WAN,226,How did my father die?,1,5,
OBI-WAN,LUKE,227,"A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights. He betrayed and murdered your father. Now the Jedi are all but extinct. Vader was seduced by the dark side of the Force.",8,50,
LUKE,OBI-WAN,228,The Force?,1,2,
OBI-WAN,LUKE,229,"Well, the Force is what gives a Jedi his power. It's an energy field created by all living things. It surrounds us and penetrates us. It binds the galaxy together.",5,30,
OBI-WAN,R2D2,230,"Now, let's see if we can't figure out what you are, my little friend. And where you come from.",3,19,
LUKE,OBI-WAN,231,I saw part of the message he was...,1,8,
OBI-WAN,LUKE,232,I seem to have found it.,1,6,
LEIA,"OBI-WAN, LUKE",233,"General Kenobi, years ago you served my father in the Clone Wars. Now he begs you to help him in his struggle against the Empire. I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed. I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit. My father will know how to retrieve it. You must see this droid safely delivered to him on Alderaan. This is our most desperate hour. Help me, Obi-Wan Kenobi, you're my only hope.",17,111,recording
OBI-WAN,LUKE,234,You must learn the ways of the Force if you're to come with me to Alderaan.,2,16,
LUKE,OBI-WAN,235,"Alderaan? I'm not going to Alderaan. I've got to get home. It's late, I'm in for it as it is.",3,20,
OBI-WAN,LUKE,236,"I need your help, Luke. She needs your help. I'm getting too old for this sort of thing.",3,18,
LUKE,OBI-WAN,237,I can't get involved! I've got work to do! It's not that I like the Empire. I hate it! But there's nothing I can do about it right now. It's such a long way from here.,5,36,
OBI-WAN,LUKE,238,That's your uncle talking.,1,4,
LUKE,OBI-WAN,239,"God, my uncle. How am I ever going to explain this?",2,11,
OBI-WAN,LUKE,240,"Learn about the Force, Luke.",1,5,
LUKE,OBI-WAN,241,"Look, I can take you as far as Anchorhead. You can get a transport there to Mos Eisley or wherever you're going.",4,22,
OBI-WAN,LUKE,242,"You must do what you feel is right, of course.",2,10,
TAGGE,MOTTI,243,Until this battle station is fully operational we are vulnerable. The Rebel Alliance is too well-equipped. They're more dangerous than you realize.,5,22,
MOTTI,TAGGE,244,"Dangerous to your starfleet, Commander, not to this battle station!",2,10,
TAGGE,MOTTI,245,The Rebellion will continue to gain a support in the Imperial Senate as long as....,3,15,
TARKIN,"MOTTI, TAGGE",246,The Imperial Senate will no longer be of any concern to us. I've just received word that the Emperor has dissolved the council permanently. The last remnants of the Old Republic have been swept away.,6,35,
TAGGE,TARKIN,247,That's impossible! How will the Emperor maintain control without the bureaucracy?,3,11,
TARKIN,TAGGE,248,The regional governors now have direct control over territories. Fear will keep the local systems in line. Fear of this battle station.,4,22,
TAGGE,TARKIN,249,"And what of the Rebellion? If the Rebels have obtained a complete technical readout of this station, it is possible, however unlikely, that they might find a weakness and exploit it.",6,31,
VADER,TAGGE,250,The plans you refer to will soon be back in our hands.,2,12,
MOTTI,VADER,251,"Any attack made by the Rebels against this station would be a useless gesture, no matter what technical data they've obtained. This station is now the ultimate power in the universe. I suggest we use it!",6,36,
VADER,MOTTI,252,Don't be too proud of this technological terror you've constructed. The ability to destroy a planet is insignificant next to the power of the Force.,5,25,
MOTTI,VADER,253,"Don't try to frighten us with your sorcerer's ways, Lord Vader. Your sad devotion to that ancient religion has not helped you conjure up the stolen data tapes or given you clairvoyance enough to find the Rebel's hidden fort...",7,39,
VADER,MOTTI,254,I find your lack of faith disturbing.,1,7,
TARKIN,VADER,255,"Enough of this! Vader, release him!",1,6,
VADER,TARKIN,256,As you wish.,1,3,
TARKIN,"VADER, MOTTI, TAGGE",257,This bickering is pointless. Now Lord Vader will provide us with the location of the Rebel fortress by the time this station is operational. We will then crush the Rebellion with one swift stroke.,6,34,
LUKE,OBI-WAN,258,"It looks like Sandpeople did this, all right. Look, There's Gaffi sticks, Bantha tracks. It's just... I never heard of them hitting anything this big before.",5,26,
OBI-WAN,LUKE,259,They didn't. But we are meant to think they did. These tracks are side by side. Sandpeople always ride single file to hide there numbers.,4,25,
LUKE,OBI-WAN,260,These are the same Jawas that sold us Artoo and Threepio.,2,11,
OBI-WAN,LUKE,261,"And these blast points, too accurate for Sandpeople. Only Imperial stormtroopers are so precise.",3,14,
LUKE,OBI-WAN,262,"But why would Imperial troops want to slaughter Jawas? If they traced the robots here, they may have learned who they sold them to. And that would lead them back home!",5,31,
OBI-WAN,LUKE,263,"Wait, Luke! It's too dangerous.",1,5,
LUKE,NA,264,Uncle Owen! Aunt Beru! Uncle Owen!,1,6,
VADER,LEIA,265,"And, now Your Highness, we will discuss the location of your hidden Rebel base.",3,14,
OBI-WAN,LUKE,266,"There's nothing you could have done, Luke, Had you been there, you'd have been killed, too. And the droids would now be in the hands of the Empire.",4,28,
LUKE,OBI-WAN,267,I want to come with you to Alderaan. There's nothing here for me now. I want to learn the ways of the Force and become a Jedi like my father.,4,30,
OBI-WAN,LUKE,268,Mos Eisley Spaceport. You will never find a more wretched hive of scum and villainy. We must be cautious.,3,19,
TROOPER,LUKE,269,How long have you had these droids?,1,7,
LUKE,TROOPER,270,About three or four seasons.,1,5,
OBI-WAN,TROOPER,271,They're up for sale if you want them.,1,8,
TROOPER,LUKE,272,Let me see your identification.,1,5,
OBI-WAN,TROOPER,273,You don't need to see his identification.,2,7,
TROOPER,TROOPER,274,We don't need to see his identification.,2,7,
OBI-WAN,TROOPER,275,These are not the droids your looking for.,2,8,
TROOPER,TROOPER,276,These are not the droids we're looking for.,2,8,
OBI-WAN,TROOPER,277,He can go about his business.,1,6,
TROOPER,LUKE,278,You can go about your business.,1,6,
OBI-WAN,TROOPER,279,Move along.,1,2,
TROOPER,LUKE,280,Move along. Move along.,1,4,
THREEPIO,LUKE,281,I can't abide those Jawas. Disgusting creatures.,2,7,
LUKE,NA,282,"Go on, go on.",1,4,
LUKE,OBI-WAN,283,I can't understand how we got by those troopers. I thought we were dead.,2,14,
OBI-WAN,LUKE,284,The Force can have a strong influence on the weak-minded.,2,10,
LUKE,OBI-WAN,285,Do you really think we're going to find a pilot here that'll take us to Alderaan?,3,16,
OBI-WAN,LUKE,286,"Well, most of the best freighter pilots can be found here. Only watch your step. This place can be a little rough.",4,22,
LUKE,OBI-WAN,287,I'm ready for anything.,1,4,
THREEPIO,R2D2,288,"Come along, Artoo.",1,3,
WUHER,LUKE,289,Hey! We don't serve their kind here!,1,7,
LUKE,WUHER,290,What?,1,1,
WUHER,LUKE,291,Your droids. They'll have to wait outside. We don't want them in here.,2,13,
LUKE,THREEPIO,292,Why don't you wait out by the speeder. We don't want any trouble.,3,13,
THREEPIO,LUKE,293,I heartily agree with you sir.,1,6,
LUKE,WUHER,294,I'll have one of those.,1,5,
PONDA BABA,LUKE,295,Negola dewaghi wooldugger?!?,1,3,
DR. EVAZAN,LUKE,296,He doesn't like you.,1,4,
LUKE,DR. EVAZAN,297,I'm sorry.,1,2,
DR. EVAZAN,LUKE,298,I don't like you either. Don't insult us. You just watch yourself. We're wanted men. I have the death sentence in twelve systems.,4,23,
LUKE,DR. EVAZAN,299,I'll be careful.,1,3,
DR. EVAZAN,LUKE,300,You'll be dead.,1,3,
OBI-WAN,DR. EVAZAN,301,This little one's not worth the effort. Come let me get you something...,3,13,
LUKE,OBI-WAN,302,I'm all right,1,3,
OBI-WAN,LUKE,303,Chewbacca here is first-mate on a ship that might suit us,2,11,
THREEPIO,R2D2,304,I don't like the look of this.,1,7,
HAN,OBI-WAN,305,Han Solo. I'm captain of the Millennium Falcon. Chewie here tells me you're looking for passage to the Alderaan system.,4,20,
OBI-WAN,HAN,306,"Yes, indeed. If it's a fast ship.",1,7,
HAN,OBI-WAN,307,Fast ship? You've never heard of the Millennium Falc?,2,9,
OBI-WAN,HAN,308,Should I have?,1,3,
HAN,OBI-WAN,309,"It's the ship that made the Kessel Run in less than twelve parsecs! I've outrun Imperial starships, not the local bulk-cruisers, mind you. I'm talking about the big Corellian ships now. She's fast enough for you, old man. What's the cargo?",7,41,
