speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode
OBI-WAN,ANAKIN,117,This weapon is your life.,1,5,
ANAKIN,OBI-WAN,118,"I try, Master.",1,3,
OBI-WAN,ANAKIN,119,Why do I get the feeling you're going to be the death of me?!,2,14,
ANAKIN,OBI-WAN,120,Don't say that Master... You're the closest thing I have to a father...,3,13,
OBI-WAN,ANAKIN,121,Then why don't you listen to me?!,1,7,
ANAKIN,OBI-WAN,122,I am trying,1,3,
OBI-WAN,ANAKIN,123,Can you see him?,1,4,
ANAKIN,OBI-WAN,124,I think he is a she... And I think she is a changeling,1,13,
OBI-WAN,ANAKIN,125,"In that case, extra careful... Go and find her.",2,9,
ANAKIN,OBI-WAN,126,"Where are you going, Master?",1,5,
OBI-WAN,ANAKIN,127,For a drink.,1,3,
OBI-WAN,NA,128,Thank you.,1,2,
ELAN,OBI-WAN,129,You wanna buy some death sticks?,1,6,
OBI-WAN,ELAN,130,You don't want to sell me death-sticks.,2,8,
ELAN,OBI-WAN,131,I don't want to sell you death sticks.,2,8,
OBI-WAN,ELAN,132,You want to go home and rethink your life.,2,9,
ELAN,OBI-WAN,133,I want to go home and rethink my life.,2,9,
ANAKIN,NA,134,Easy... Jedi business. Go back to your drinks.,2,8,
OBI-WAN,ZAM WESSEL,135,Do you know who it was you were trying to kill?,2,11,
ZAM WESSEL,"OBI-WAN, ANAKIN",136,The Senator from Naboo.,1,4,
OBI-WAN,ZAM WESSEL,137,And who hired you?,1,4,
ZAM WESSEL,OBI-WAN,138,It was just a job.,1,5,
ANAKIN,ZAM WESSEL,139,"Who hired you, tell us. Tell us now!",1,8,
ZAM WESSEL,ANAKIN,140,It was a bounty hunter called...,1,6,
ZAM WESSEL,"OBI-WAN, ANAKIN",141,Wee shahnit ... sleemo,1,3,
OBI-WAN,ANAKIN,142,Toxic dart...,1,2,
YODA,OBI-WAN,143,"Track down this bounty hunter you must, Obi-Wan.",1,8,
MACE WINDU,OBI-WAN,144,"Most importantly, find out who he's working for.",1,8,
OBI-WAN,"MACE WINDU, YODA",145,What about Senator Amidala? She will still need protecting.,2,9,
YODA,OBI-WAN,146,Handle that your Padawan will.,1,5,
MACE WINDU,ANAKIN,147,"Anakin, escort the senator back to her home planet of Naboo. She'll be safer there. And don't use registered transport. Travel as refugees.",4,23,
ANAKIN,MACE WINDU,148,"As the leader of the opposition, it will be very difficult... to get Senator Amidala to leave the capital.",2,19,
YODA,ANAKIN,149,Until caught this killer is... our judgment she must respect.,1,10,
MACE WINDU,ANAKIN,150,"Anakin, go to the senate... and ask Chancellor Palpatine to speak with her about this matter.",1,16,
PALPATINE,ANAKIN,151,I will talk with her. Senator Amidala will not refuse an executive order. I know her well enough to assure you of that.,2,23,
ANAKIN,PALPATINE,152,"Thank you, Your Excellency.",1,4,
PALPATINE,ANAKIN,153,"And so, they've finally given you an assignment. Your patience has paid off",1,13,
ANAKIN,PALPATINE,154,Your guidance more than my patience.,1,6,
PALPATINE,ANAKIN,155,"You don't need guidance, Anakin. In time, you will learn to trust your feelings. Then you will be invincible. I have said it many times: You are the most gifted Jedi I have ever met.",4,35,
ANAKIN,PALPATINE,156,"Thank you, Your Excellency.",1,4,
PALPATINE,ANAKIN,157,"I see you becoming the greatest of all the Jedi, Anakin.. even more powerful than Master Yoda.",2,17,
OBI-WAN,"YODA, MACE WINDU",158,I am concerned for my Padawan. He is not ready to be given this assignment on his own yet.,2,19,
YODA,OBI-WAN,159,"The Council is confident in its decision, Obi-Wan.",2,8,
MACE WINDU,OBI-WAN,160,The boy has exceptional skills.,1,5,
OBI-WAN,"YODA, MACE WINDU",161,"But he still has much to learn, Master. And his abilities have made him... well... arrogant.",3,16,
YODA,OBI-WAN,162,"Yes, yes. A flaw more and more common among Jedi. Too sure of themselves they are. Even the older, more experienced ones.",6,22,
MACE WINDU,OBI-WAN,163,"Remember, Obi-Wan, if the prophecy is true... your apprentice is the only one who can bring the Force back into balance.",4,21,
PADME,JAR JAR,164,"I'm taking an extended leave of absence. It will be your responsibility to take my place in the Senate. Representative Binks, I know I can count on you.",3,28,
JAR JAR,PADME,165,"Mesa honored to be taking on dissa heavy burden. burden. Mesa accept this with muy, muy humility and--",4,18,
PADME,JAR JAR,166,"Jar Jar, I don't wish to hold you up. I'm sure you have a great deal to do.",2,17,
JAR JAR,PADME,167,"Of course, M'lady.",1,3,
PADME,ANAKIN,168,I do not like this idea of hiding.,1,8,
ANAKIN,PADME,169,"Don't worry. Now that the Council has ordered an investigation, it won't take Master Obi-Wan long to find this bounty hunter.",4,21,
PADME,ANAKIN,170,I haven't worked for a year to defeat the Military Creation Act... to not be here when its fate is decided.,4,21,
ANAKIN,PADME,171,Sometimes we must let go of our pride and do what is requested of us.,3,15,
PADME,ANAKIN,172,"Anakin, you've grown up.",2,4,
ANAKIN,PADME,173,Master Obi-Wan manages not to see it. Don't get me wrong. Obi-Wan is a great mentor. As wise as Master Yoda and... as powerful as Master Windu. I am truly thankful to be his apprentice. In some ways-- a lot of ways-- I'm really ahead of him. I'm ready for the trials... but he feels that I'm too unpredictable. He won't let me move on.,15,65,
PADME,ANAKIN,174,That must be frustrating.,1,4,
ANAKIN,PADME,175,It's worse. He's overly critical. He never listens. He doesn't understand. It's not fair!,5,14,
PADME,ANAKIN,176,All mentors have a way of seeing more of our faults than we would like. It's the only way we grow.,3,21,
ANAKIN,PADME,177,I know.,1,2,
PADME,ANAKIN,178,Anakin.,1,1,
PADME,ANAKIN,179,Don't try to grow up too fast.,1,7,
ANAKIN,ANAKIN,180,But I am grown up. You said it yourself.,2,9,
PADME,ANAKIN,181,Please don't look at me like that.,2,7,
ANAKIN,PADME,182,Why not?,1,2,
PADME,ANAKIN,183,It makes me feel uncomfortable.,1,5,
ANAKIN,PADME,184,"Sorry, milady.",1,2,
CAPTAIN TYPHO,PADME,185,"Be safe, m'lady.",1,3,
PADME,"CAPTAIN TYPHO, DORME",186,"Thank you, Captain. Take good care of Dorme. The threat's on you two now.",3,14,
DORME,"PADME, CAPTAIN TYPHO",187,He'll be safe with me.,1,5,
PADME,DORME,188,You'll be fine.,1,3,
DORME,PADME,189,"It's not me, m'lady. I worry about you. What if they realize you've left the capital?",3,16,
PADME,DORME,190,"Well, then my Jedi protector will have to prove how good he is.",2,13,
OBI-WAN,ANAKIN,191,Anakin. Don't do anything without first consulting either myself or the council.,3,12,
ANAKIN,OBI-WAN,192,"Yes, Master.",1,2,
OBI-WAN,PADME,193,"I'll get to the bottom of this plot quickly, milady. You'll be back here in no time.",4,17,
PADME,OBI-WAN,194,"I'll be most grateful for your speed, Master Jedi.",2,9,
ANAKIN,PADME,195,It's time to go.,1,4,
PADME,ANAKIN,196,I know.,1,2,
OBI-WAN,ANAKIN,197,"Anakin, may the Force be with you.",2,7,
ANAKIN,OBI-WAN,198,"May the Force be with you, Master.",2,7,
PADME,ANAKIN,199,Suddenly I'm afraid.,1,3,
ANAKIN,PADME,200,This is my first assignment on my own. I am too. Don't worry. We have Artoo with us.,4,18,
OBI-WAN,CAPTAIN TYPHO,201,I do hope he doesn't try anything foolish.,2,8,
CAPTAIN TYPHO,OBI-WAN,202,I'd be more concerned about her doing something than him.,2,10,
HERMIONE,DEXTER JETTSTER,203,"Someone to see ya, honey Jedi, by the looks of him.",2,11,
DEXTER JETTSTER,OBI-WAN,204,Obi-wan!,1,1,
OBI-WAN,DEXTER JETTSTER,205,"Hello, Dex.",1,2,
DEXTER JETTSTER,OBI-WAN,206,Take a seat! I'll be right with ya!,1,8,
HERMIONE,OBI-WAN,207,You want a cup of jawa juice?,1,7,
OBI-WAN,HERMIONE,208,"Oh, yes. Thank you.",1,4,
DEXTER JETTSTER,OBI-WAN,209,"Hey, ol' buddy! So, my friend. What can I do for ya?",3,12,
OBI-WAN,DEXTER JETTSTER,210,You can tell me what this is.,1,7,
DEXTER JETTSTER,OBI-WAN,211,"Well, whattaya know... I ain't seen one of these since I was prospecting on Subterrel beyond the Outer Rim!",4,19,
OBI-WAN,DEXTER JETTSTER,212,Can you tell me where it came from?,1,8,
OBI-WAN,HERMIONE,213,Thank you.,1,2,
DEXTER JETTSTER,OBI-WAN,214,This baby belongs to them cloners. What you got here is a Kamino saberdart.,3,14,
OBI-WAN,DEXTER JETTSTER,215,I wonder why it didn't show up in the analysis archive.,3,11,
DEXTER JETTSTER,OBI-WAN,216,"It's these funny little cuts on the side that give it away... Those analysis droids only focus on symbols, I should think you Jedi would have more respect for the difference between knowledge and wisdom.",8,35,
OBI-WAN,DEXTER JETTSTER,217,"Well, if droids could think there'd be none of us here, would there? Kamino... I'm not familiar with it. Is it in the Republic?",4,24,
DEXTER JETTSTER,OBI-WAN,218,"No, no, it's beyond the Outer Rim. I'd say about twelve parsecs outside the Rishi Maze Should be easy to find, even for those droids in your archives. These Kaminoans keep to themselves. They're cloners. Damned good ones, too.",8,39,
OBI-WAN,DEXTER JETTSTER,219,Cloners? Are they friendly?,1,4,
DEXTER JETTSTER,OBI-WAN,220,"oh, depends.",1,2,
OBI-WAN,DEXTER JETTSTER,221,"Depends on what, Dex?",1,4,
DEXTER JETTSTER,OBI-WAN,222,On how good your manners are... and how big your pocketbook is...,2,12,
JOCASTA NU,OBI-WAN,223,Did you call for assistance?,1,5,
OBI-WAN,JOCASTA NU,224,"Yes... yes, I did...",1,4,
JOCASTA NU,OBI-WAN,225,"Are you having a problem, Master Kenobi?",1,7,
OBI-WAN,JOCASTA NU,226,"Yes, I'm looking for a planetary system called Kamino.",2,9,
JOCASTA NU,OBI-WAN,227,Kamino?,1,1,
OBI-WAN,JOCASTA NU,228,It doesn't show up on the archive charts.,2,8,
JOCASTA NU,OBI-WAN,229,Kamino. It's not a system I'm familiar with. Are you sure you have the right coordinates?,2,16,
OBI-WAN,JOCASTA NU,230,"According to my information, it should appear in this quadrant here... just south of the Rishi Maze.",2,17,
JOCASTA NU,OBI-WAN,231,"I hate to say it, but it looks like the system you're searching for... doesn't exist.",3,16,
OBI-WAN,JOCASTA NU,232,Impossible. Perhaps the archives are incomplete.,2,6,
JOCASTA NU,OBI-WAN,233,If an item does not appear in our records... it does not exist.,3,13,
FOOD SERVER,R2D2,234,Hey you! No Droids!,1,4,
R2D2,FOOD SERVER,235,[ Beeping ],1,2,
FOOD SERVER,R2D2,236,Get outta here!,1,3,
R2D2,FOOD SERVER,237,[ Beeping ],1,3,
R2D2,PADME,238,[ Beeping ],1,3,
PADME,R2D2,239,"Thank you, R2.",1,3,
R2D2,PADME,240,[ Chirping ],1,2,
PADME,ANAKIN,241,"Must be difficult, having sworn your life to the Jedi... not being able to visit the places you like or do the things you like.",4,25,
ANAKIN,PADME,242,Or be with the people that I love.,2,8,
PADME,ANAKIN,243,Are you allowed to love? I thought that was forbidden for a Jedi.,3,13,
ANAKIN,PADME,244,"Attachment is forbidden. Possession is forbidden. Compassion, which I would define as unconditional love... is central to a Jedi's life. So you might say that we are encouraged to love.",8,30,
PADME,ANAKIN,245,You've changed so much.,1,4,
ANAKIN,PADME,246,You haven't changed a bit.,1,5,
ANAKIN,ANAKIN,247,You're exactly the way I remember you in my dreams.,2,10,
YODA,YOUNGLINGS,248,Reach out. Sense the Force around you. Use your feelings you must. Younglings. Younglings! A visitor we have.,6,18,
YOUNGLINGS,OBI-WAN,249,"Hello, Master Obi-Wan.",1,3,
OBI-WAN,YOUNGLINGS,250,Hello.,1,1,
OBI-WAN,YODA,251,"I'm sorry to disturb you, Master.",1,6,
YODA,OBI-WAN,252,"What help can I be, Obi-Wan?",2,6,
OBI-WAN,YODA,253,"I'm looking for a planet described to me by an old friend. I trust him, but the systems don't show on the archive maps.",4,24,
YODA,"YOUNGLINGS, OBI-WAN",254,"Lost a planet Master Obi-Wan has. How embarrassing. How embarrassing. Liam, the shades. Gather round the map reader. Clear your minds... and find Obi-Wan's wayward planet we will.",10,28,
OBI-WAN,YODA,255,It ought to be... here... but it isn't. Gravity is pulling all the stars in the area towards this spot.,4,20,
YODA,"YOUNGLINGS, OBI-WAN",256,Hmm. Gravity's silhouette remains... but the star and all the planets... disappeared they have. How can this be? Hmm? A thought? Anyone.,8,22,
BOY,YODA,257,Master? Because someone erased it from the archive memory.,3,9,
YODA,OBI-WAN,258,Truly wonderful the mind of a child is. The Padawan is right. Go to the center of gravity's pull... and find your planet you will. The data must have been erased.,9,31,
OBI-WAN,YODA,259,"But, Master Yoda, who could empty information from the archives? That's impossible, isn't it?",3,14,
YODA,OBI-WAN,260,"Dangerous and disturbing this puzzle is. Only a Jedi could have erased those files. But who and why, harder to answer. Meditate on this I will.",7,26,
PADME,ANAKIN,261,"I wasn't the youngest queen ever elected... but now that I think back on it, I'm not sure I was old enough. I'm not sure I was ready.",6,28,
ANAKIN,PADME,262,The people you served thought you did a good job. I heard they even tried to amend the constitution so you could stay in office.,5,25,
PADME,ANAKIN,263,I was relieved when my two terms were up. But when the queen asked me to serve as senator... I couldn't refuse her.,5,23,
ANAKIN,PADME,264,I agree with her. I think the Republic needs you. I'm glad that you chose to serve.,4,17,
PADME,"SIO BIBBLE, QUEEN JAMILLIA",265,If the senate votes to create an army... I'm sure it's going to push us into a civil war.,4,19,
SIO BIBBLE,PADME,266,It's unthinkable. There hasn't been a full-scale war since the formation of the Republic.,3,14,
QUEEN JAMILLIA,PADME,267,Do you see any way through negotiations... to bring the separatists back into the Republic?,4,15,
PADME,QUEEN JAMILLIA,268,Not if they feel threatened. My guess is they'll turn to the Trade Federations or the Commerce Guilds for help.,4,20,
SIO BIBBLE,"PADME, QUEEN JAMILLIA",269,"It's outrageous, but after four trials in the Supreme Court... Nute Gunray is still the viceroy of the Trade Federation. I fear the senate is powerless to resolve this crisis.",6,30,
QUEEN JAMILLIA,"PADME, SIO BIBBLE",270,We must keep our faith in the Republic.,2,8,
QUEEN JAMILLIA,PADME,271,The day we stop believing democracy can work is the day we lose it.,2,14,
PADME,QUEEN JAMILLIA,272,Let's pray that day never comes.,2,6,
QUEEN JAMILLIA,PADME,273,"In the meantime, we must consider your own safety.",2,9,
SIO BIBBLE,ANAKIN,274,"What is your suggestion,",1,4,
SIO BIBBILE,ANAKIN,275,Master Jedi?,1,2,
PADME,SIO BIBBILE,276,"Oh, Anakin's not a Jedi yet. He's still a Padawan learner.",3,11,
PADME,QUEEN JAMILLIA,277,But I was thinking--,1,4,
ANAKIN,PADME,278,Hold on a minute.,1,4,
PADME,ANAKIN,279,Excuse me.,1,2,
PADME,QUEEN JAMILLIA,280,I was thinking I would stay in the lake country. There are some places up there that are very isolated.,4,20,
ANAKIN,PADME,281,"Excuse me. I'm in charge of security here, milady.",2,9,
PADME,ANAKIN,282,And this is my home. I know it very well. That is why we're here. I think it would be wise if you took advantage of my knowledge in this instance.,5,31,
ANAKIN,PADME,283,"Sorry, milady.",1,2,
QUEEN JAMILLIA,PADME,284,"Perfect. It's settled, then.",1,4,
OBI-WAN,R4,285,"There it is, R4, right where it should be. Our missing planet Kamino.",2,13,
TAUN WE,OBI-WAN,286,Master Jedi. The prime minister is expecting you.,2,8,
OBI-WAN,TAUN WE,287,I'm expected?,1,2,
TAUN WE,OBI-WAN,288,"Of course. He is anxious to meet you. After all these years... we were beginning to think you weren't coming. Now, please, this way.",6,24,
TAUN WE,"LAMA SU, OBI-WAN",289,May I present Lama Su... prime minister of Kamino. And this is Master Jedi--,3,14,
OBI-WAN,"LAMA SU, TAUN WE",290,Obi-Wan Kenobi.,1,2,
LAMA SU,OBI-WAN,291,"I trust you're going to enjoy your stay. Please. And now to business. You will be delighted to hear that we are on schedule. 200,000 units are ready... with a million more well on the way.",9,36,
OBI-WAN,"LAMA SU, TAUN WE",292,That's good news.,1,3,
LAMA SU,OBI-WAN,293,Please tell your Master Sifo-Dyas... that his order will be met on time.,4,13,
OBI-WAN,LAMA SU,294,I'm sorry. Master--,1,3,
LAMA SU,OBI-WAN,295,Jedi Master Sifo-Dyas is still a leading member of the Jedi Council... is he not?,3,15,
OBI-WAN,LAMA SU,296,Master Sifo-Dyas was killed almost ten years ago.,2,8,
LAMA SU,OBI-WAN,297,"Oh, I'm so sorry to hear that. But I'm sure he would have been proud of the army we've built for him.",4,22,
OBI-WAN,LAMA SU,298,The army?,1,2,
LAMA SU,OBI-WAN,299,"Yes. A clone army, and I must say, one of the finest we've ever created.",3,15,
OBI-WAN,LAMA SU,300,"Tell me, Prime Minister... when my master first contacted you about the army... did he say who it was for?",5,20,
LAMA SU,OBI-WAN,301,Of course he did. This army is for the Republic. But you must be anxious to inspect the units for yourself.,5,21,
OBI-WAN,LAMA SU,302,That's why I'm here.,1,4,
PADME,ANAKIN,303,We used to come here for school retreat. We would swim to that island every day. I love the water. We used to lie out on the sand and let the sun dry us... and try to guess the names of the birds singing.,9,44,
ANAKIN,PADME,304,"I don't like sand. It's coarse and rough and irritating... and it gets everywhere. Not like here. Here, everything is soft... and smooth.",7,23,
PADME,ANAKIN,305,No. I shouldn't have done that.,2,6,
ANAKIN,PADME,306,I'm sorry.,1,2,
OBI-WAN,LAMA SU,307,Very impressive.,1,2,
